  PID TTY           TIME CMD
 1038 ??         0:01.33 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1039 ??         1:47.31 /usr/sbin/cfprefsd agent
 1060 ??         0:21.48 /usr/libexec/UserEventAgent (Aqua)
 1062 ??         0:00.03 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
 1063 ??         0:32.31 /usr/sbin/distnoted agent
 1064 ??         0:15.35 /usr/libexec/knowledge-agent
 1067 ??         0:04.88 /usr/libexec/lsd
 1068 ??         0:05.23 /usr/libexec/secd
 1070 ??         4:30.04 /usr/libexec/trustd --agent
 1071 ??         0:00.28 /usr/libexec/neagent
 1072 ??         0:21.40 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 1074 ??         0:10.40 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
 1075 ??         0:00.31 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
 1077 ??         0:00.46 /System/Library/CoreServices/backgroundtaskmanagementagent
 1079 ??         0:03.22 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
 1080 ??         0:08.60 /usr/libexec/pkd
 1081 ??         0:05.19 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
 1082 ??         0:03.99 /usr/libexec/nsurlsessiond
 1086 ??         0:02.07 /usr/libexec/pboard
 1088 ??         0:02.46 /usr/libexec/rapportd
 1090 ??         1:20.89 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
 1091 ??         0:15.30 /usr/sbin/usernoted
 1092 ??         0:39.40 /System/Library/CoreServices/lockoutagent
 1093 ??         0:28.78 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
 1094 ??         0:00.48 /usr/libexec/networkserviceproxy
 1095 ??         0:00.10 /System/Library/CoreServices/APFSUserAgent
 1096 ??         0:05.12 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1097 ??         0:40.94 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
 1098 ??         0:08.53 /System/Library/PrivateFrameworks/ExchangeSync.framework/Versions/Current/exchangesyncd
 1099 ??         0:06.01 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
 1100 ??         0:01.97 /usr/libexec/secinitd
 1101 ??         0:15.31 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
 1102 ??         0:03.55 /System/Library/CoreServices/talagent
 1103 ??         0:32.56 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1104 ??         0:01.76 /usr/libexec/dmd
 1106 ??         0:35.59 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
 1107 ??         0:54.05 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1108 ??         0:01.68 /System/Library/CoreServices/sharedfilelistd
 1109 ??         0:22.47 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1110 ??         0:46.75 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1113 ??         0:04.44 /usr/libexec/nsurlstoraged
 1114 ??         0:07.02 /System/Library/CoreServices/mapspushd
 1118 ??         0:00.17 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
 1120 ??         0:09.59 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
 1122 ??         0:09.43 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
 1126 ??         0:02.16 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
 1127 ??         0:01.09 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1128 ??        45:27.81 /Applications/Telegram.app/Contents/MacOS/Telegram -psn_0_106522
 1129 ??         0:00.80 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
 1131 ??         0:30.02 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal -psn_0_118813
 1135 ??         4:21.52 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
 1137 ??         1:06.53 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
 1138 ??         9:48.42 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
 1141 ??         0:01.01 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 1142 ??         0:00.86 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 1144 ??         0:14.28 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
 1145 ??         1:01.67 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
 1146 ??         0:26.62 /usr/libexec/sharingd
 1147 ??         0:24.15 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
 1148 ??         0:00.48 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 1149 ??         0:00.67 /usr/libexec/fmfd
 1150 ??         0:12.67 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1151 ??         0:06.23 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
 1152 ??         0:10.20 /System/Library/CoreServices/iconservicesagent
 1153 ??         0:01.99 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 1154 ??         0:08.44 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
 1155 ??         0:00.03 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 1156 ??         0:00.17 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 1157 ??         0:00.27 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
 1158 ??         0:01.74 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
 1162 ??         0:00.46 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
 1165 ??         0:00.11 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
 1169 ??         0:00.32 /usr/libexec/WiFiVelocityAgent
 1170 ??         0:27.25 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
 1172 ??         0:00.66 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
 1176 ??         0:03.67 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
 1177 ??         0:34.37 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 1178 ??         0:00.53 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1183 ??         0:05.17 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1185 ??         0:00.36 /Library/Apple/System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
 1190 ??         0:01.10 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
 1191 ??         0:03.43 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 1195 ??         0:00.55 /System/Library/CoreServices/pbs
 1199 ??         0:00.13 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
 1201 ??         0:02.92 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
 1207 ??         0:00.03 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
 1209 ??         0:01.71 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 1214 ??         0:03.30 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
 1216 ??         0:03.29 /usr/libexec/adprivacyd
 1217 ??         0:00.24 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
 1218 ??         0:03.79 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
 1220 ??         0:02.50 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1228 ??         0:23.66 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
 1232 ??         0:00.24 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
 1237 ??         0:00.16 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
 1242 ??         0:00.02 SafeEjectGPUAgent
 1243 ??         0:00.13 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
 1249 ??         0:02.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1251 ??         3:28.45 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
 1254 ??         1:39.01 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
 1255 ??         0:24.20 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.x86.xpc/Contents/MacOS/SimLaunchHost.x86
 1257 ??         0:01.91 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
 1260 ??         0:00.32 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
 1264 ??         0:00.18 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
 1267 ??         0:08.96 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent --launchd
 1309 ??         0:08.66 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1314 ??         0:00.20 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
 1319 ??         0:35.06 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
 1320 ??         0:04.68 /System/Library/Image Capture/Support/icdd
 1322 ??         0:00.01 /bin/sh /usr/local/opt/rabbitmq/sbin/rabbitmq-server
 1326 ??         0:19.43 /Applications/NoMAD.app/Contents/MacOS/NoMAD
 1327 ??         0:05.90 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
 1329 ??         0:00.63 /usr/local/opt/postgresql/bin/postgres -D /usr/local/var/postgres
 1330 ??         0:03.08 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
 1331 ??         0:01.44 /System/Library/CoreServices/cloudpaird
 1332 ??         3:50.77 /usr/local/libexec/ReceiverHelper.app/Contents/MacOS/ReceiverHelper
 1333 ??         0:03.12 /System/Library/CoreServices/diagnostics_agent
 1334 ??         0:30.28 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1335 ??         0:29.27 /Applications/Workspace ONE Intelligent Hub.app/Contents/Resources/IntelligentHubAgent.app/Contents/MacOS/IntelligentHubAgent
 1336 ??         0:03.82 /usr/local/libexec/ServiceRecords.app/Contents/MacOS/ServiceRecords
 1337 ??         0:07.90 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
 1339 ??         0:00.17 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1345 ??         0:07.87 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
 1347 ??        21:58.39 /usr/local/Cellar/erlang/23.3.3/lib/erlang/erts-11.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -B i -- -root /usr/local/Cellar/erlang/23.3.3/lib/erlang -progname erl -- -home /Users/out-egorov-id -- -pa  -noshell -noinput -s rabbit boot -boot /usr/local/opt/erlang/lib/erlang/bin/start_clean -lager crash_log false -lager handlers []
